"","Country","Status","HIV.AIDS","Income.composition.of.resources","Adult.Mortality","under.five.deaths","thinness.5.9.years","Diphtheria","Schooling","Life.expectancy","continent","class"
"370","Brunei Darussalam",0,0.1,0.863,12,0,5.2,99,15,77.6,"Asia",1
"371","Brunei Darussalam",0,0.1,0.86,84,0,5.2,99,14.9,77.1,"Asia",1
"372","Brunei Darussalam",0,0.1,0.852,79,0,5.3,99,14.4,78.3,"Asia",1
"373","Brunei Darussalam",0,0.1,0.846,79,0,5.4,97,14.1,77.4,"Asia",1
"374","Brunei Darussalam",0,0.1,0.845,79,0,5.4,95,14.2,76.9,"Asia",1
"375","Brunei Darussalam",0,0.1,0.841,88,0,5.5,99,14.1,76.8,"Asia",1
"376","Brunei Darussalam",0,0.1,0.84,84,0,5.6,98,14.2,77.2,"Asia",1
"377","Brunei Darussalam",0,0.1,0.84,12,0,5.7,99,14.3,76,"Asia",1
"378","Brunei Darussalam",0,0.1,0.837,93,0,5.8,97,14.3,76.3,"Asia",1
"379","Brunei Darussalam",0,0.1,0.834,92,0,5.9,94,14.1,76.2,"Asia",1
"380","Brunei Darussalam",0,0.1,0.828,89,0,6,92,13.7,76.4,"Asia",1
"381","Brunei Darussalam",0,0.1,0.823,89,0,6.1,92,13.4,76,"Asia",1
"382","Brunei Darussalam",0,0.1,0.82,95,0,6.1,94,13.3,74.8,"Asia",1
"383","Brunei Darussalam",0,0.1,0.819,19,0,6.2,97,13.4,74.7,"Asia",1
"384","Brunei Darussalam",0,0.1,0.818,16,0,6.3,99,13.4,74.4,"Asia",1
"385","Bulgaria",1,0.1,0.792,137,1,1.8,91,15,74.5,"Europe",1
"386","Bulgaria",1,0.1,0.787,138,1,1.9,88,14.8,74.3,"Europe",1
"387","Bulgaria",1,0.1,0.781,14,1,1.9,95,14.4,74.1,"Europe",1
"388","Bulgaria",1,0.1,0.778,139,1,1.9,95,14.3,73.9,"Europe",1
"389","Bulgaria",1,0.1,0.775,144,1,2,95,14.2,73.7,"Europe",1
"392","Bulgaria",1,0.1,0.761,155,1,2.1,95,13.8,72.9,"Europe",1
"393","Bulgaria",1,0.1,0.755,157,1,2.2,95,13.5,72.6,"Europe",1
"394","Bulgaria",1,0.1,0.75,161,1,2.2,95,13.5,72.2,"Europe",1
"395","Bulgaria",1,0.1,0.745,16,1,2.3,96,13.5,72.1,"Europe",1
"396","Bulgaria",1,0.1,0.738,157,1,2.3,95,13.3,72.2,"Europe",1
"397","Bulgaria",1,0.1,0.729,155,1,2.4,96,12.9,72,"Europe",1
"398","Bulgaria",1,0.1,0.723,157,1,2.4,93,12.9,71.8,"Europe",1
"399","Bulgaria",1,0.1,0.713,16,1,2.5,94,12.9,71.6,"Europe",1
"400","Bulgaria",1,0.1,0.709,163,1,2.5,93,12.9,71.1,"Europe",1
"401","Burkina Faso",0,0.6,0.399,26,61,7.5,91,7.7,59.9,"Africa",0
"402","Burkina Faso",0,0.6,0.398,268,63,7.7,91,7.7,59.3,"Africa",0
"403","Burkina Faso",0,0.7,0.392,27,66,7.9,88,7.5,59,"Africa",0
"405","Burkina Faso",0,0.9,0.377,275,71,8.4,91,6.8,58.1,"Africa",0
"408","Burkina Faso",0,1,0.345,288,80,9.1,93,6.8,56.1,"Africa",0
"409","Burkina Faso",0,1,0.334,293,80,9.3,89,6.8,55.3,"Africa",0
"410","Burkina Faso",0,1,0.325,32,80,9.6,86,6.8,54.3,"Africa",0
"411","Burkina Faso",0,1,0.286,313,80,9.8,82,6.8,53.3,"Africa",0
"412","Burkina Faso",0,1,0.286,323,80,1.1,79,6.8,52.6,"Africa",0
"417","Burundi",0,0.7,0.406,288,31,7.2,94,10.6,59.6,"Africa",0
"418","Burundi",0,0.7,0.404,297,32,7.3,95,10.6,59.1,"Africa",0
"419","Burundi",0,1,0.398,33,32,7.4,96,10.5,58.6,"Africa",0
"420","Burundi",0,1,0.393,312,33,7.5,96,10.3,58,"Africa",0
"421","Burundi",0,1,0.385,321,33,7.6,96,9.9,57.4,"Africa",0
"422","Burundi",0,1,0.361,33,34,7.7,96,9.3,56.8,"Africa",0
"423","Burundi",0,1,0.336,338,34,7.8,94,8.6,56.2,"Africa",0
"424","Burundi",0,1,0.319,35,35,7.9,92,7.9,55.3,"Africa",0
"425","Burundi",0,1,0.309,355,36,8,99,7.2,54.8,"Africa",0
"426","Burundi",0,1,0.29,361,36,8.2,92,6.8,54.1,"Africa",0
"427","Burundi",0,1,0.286,369,37,8.3,87,6.8,53.4,"Africa",0
"428","Burundi",0,1,0.286,378,38,8.4,83,6.8,52.6,"Africa",0
"429","Burundi",0,1,0.286,383,38,8.5,82,6.8,52.6,"Africa",0
"431","Burundi",0,1,0.286,383,40,8.8,81,6.8,52.6,"Africa",0
"433","Côte d'Ivoire",0,1,0.723,383,79,5.5,83,13.1,53.3,"Africa",0
"434","Côte d'Ivoire",0,1,0.722,47,80,5.6,76,13,52.8,"Africa",0
"435","Côte d'Ivoire",0,1,0.719,383,80,5.7,65,12.9,52.6,"Africa",0
"436","Côte d'Ivoire",0,1,0.712,383,80,5.9,82,12.9,52.6,"Africa",0
"437","Côte d'Ivoire",0,1,0.709,383,80,6,65,12.9,52.6,"Africa",0
"438","Côte d'Ivoire",0,1,0.7,383,80,6.2,85,12.7,52.6,"Africa",0
"439","Côte d'Ivoire",0,1,0.7,383,80,6.4,81,12.5,52.6,"Africa",0
"440","Côte d'Ivoire",0,1,0.697,383,80,6.6,74,12.4,54,"Africa",0
"441","Côte d'Ivoire",0,1,0.687,383,80,6.7,76,12.3,52.6,"Africa",0
"442","Côte d'Ivoire",0,1,0.682,383,80,6.9,77,12.3,52.6,"Africa",0
"443","Côte d'Ivoire",0,1,0.658,383,80,7.1,76,12.1,52.6,"Africa",0
"449","Cabo Verde",0,0.2,0.646,114,0,6.6,93,13.5,73.3,"Africa",1
"450","Cabo Verde",0,0.2,0.643,117,0,6.7,95,13.5,73,"Africa",1
"451","Cabo Verde",0,0.2,0.643,12,0,6.9,93,13.6,72.8,"Africa",1
"452","Cabo Verde",0,0.3,0.636,121,0,7.1,94,13.2,72.7,"Africa",1
"453","Cabo Verde",0,0.3,0.632,122,0,7.2,65,13.1,72.6,"Africa",1
"454","Cabo Verde",0,0.4,0.627,123,0,7.4,99,12.7,72.5,"Africa",1
"455","Cabo Verde",0,0.4,0.621,124,0,7.6,99,12.4,72.4,"Africa",1
"456","Cabo Verde",0,0.4,0.615,124,0,7.8,99,12.2,72.4,"Africa",1
"457","Cabo Verde",0,0.6,0.602,126,0,8,98,11.9,72.3,"Africa",1
"458","Cabo Verde",0,0.6,0.596,129,0,8.3,96,11.9,72.1,"Africa",1
"459","Cabo Verde",0,0.8,0.582,134,0,8.5,95,11.2,71.8,"Africa",1
"460","Cabo Verde",0,0.8,0.574,14,0,8.7,93,11.1,71.4,"Africa",1
"461","Cabo Verde",0,0.9,0.572,144,0,8.9,92,11.3,71.1,"Africa",1
"462","Cabo Verde",0,0.8,0.569,148,0,9.1,91,11.3,77,"Africa",1
"463","Cabo Verde",0,0.8,0.562,152,0,9.3,65,11,73,"Africa",1
"464","Cabo Verde",0,0.8,0.286,155,0,9.5,65,11.3,69.9,"Africa",0
"465","Cambodia",0,0.2,0.558,174,12,1.9,89,10.9,68.7,"Asia",0
"466","Cambodia",0,0.2,0.553,179,12,11,88,10.9,68.3,"Asia",0
"467","Cambodia",0,0.2,0.546,183,13,11.1,83,10.8,67.8,"Asia",0
"468","Cambodia",0,0.3,0.54,186,14,11.2,86,10.7,67.4,"Asia",0
"469","Cambodia",0,0.3,0.533,19,15,11.2,88,10.7,67,"Asia",0
"473","Cambodia",0,0.9,0.495,24,20,11.3,82,10.3,65,"Asia",0
"474","Cambodia",0,1,0.483,216,21,11.3,65,10.1,64.1,"Asia",0
"475","Cambodia",0,1,0.47,234,22,11.3,82,10,62.9,"Asia",0
"476","Cambodia",0,1,0.458,253,24,11.3,85,9.7,61.5,"Asia",0
"477","Cambodia",0,1,0.445,268,26,11.3,69,9.3,63,"Asia",0
"482","Cameroon",0,1,0.507,366,71,5.7,87,10.4,56.7,"Africa",0
"483","Cameroon",0,1,0.501,364,73,5.8,89,10.4,56.4,"Africa",0
"484","Cameroon",0,1,0.496,369,76,5.9,85,10.4,55.9,"Africa",0
"485","Cameroon",0,1,0.486,371,79,6,82,10,55.6,"Africa",0
"486","Cameroon",0,1,0.48,37,80,6.2,84,9.7,55.3,"Africa",0
"487","Cameroon",0,1,0.473,373,80,6.3,65,9.2,54.8,"Africa",0
"488","Cameroon",0,1,0.466,382,80,6.5,84,8.8,54.2,"Africa",0
"489","Cameroon",0,1,0.456,383,80,6.6,82,8,53.6,"Africa",0
"490","Cameroon",0,1,0.456,383,80,6.8,81,8.2,53.3,"Africa",0
"491","Cameroon",0,1,0.456,12,80,7,65,8.3,52.8,"Africa",0
"492","Cameroon",0,1,0.455,383,80,7.1,73,8.2,52.6,"Africa",0
"493","Cameroon",0,1,0.452,383,80,7.3,73,8.1,52.6,"Africa",0
"497","Canada",0,0.1,0.894,64,2,0.5,91,16.3,82.09,"Americas",1
"498","Canada",0,0.1,0.894,65,2,0.5,91,15.9,82,"Americas",1
"499","Canada",0,0.1,0.894,67,2,0.5,91,15.9,81.8,"Americas",1
"500","Canada",0,0.1,0.894,68,2,0.5,95,15.9,81.6,"Americas",1
"501","Canada",0,0.1,0.894,68,2,0.5,87,15.9,81.5,"Americas",1
"502","Canada",0,0.1,0.894,12,2,0.5,89,15.9,81.2,"Americas",1
"503","Canada",0,0.1,0.894,72,2,0.5,91,15.9,81,"Americas",1
"504","Canada",0,0.1,0.894,74,2,0.5,92,15.8,82.09,"Americas",1
"505","Canada",0,0.1,0.894,74,2,0.5,94,15.8,82.09,"Americas",1
"506","Canada",0,0.1,0.891,75,2,0.5,95,15.8,82.09,"Americas",1
"507","Canada",0,0.1,0.886,76,2,0.5,93,15.8,81,"Americas",1
"508","Canada",0,0.1,0.881,77,2,0.5,91,15.8,80,"Americas",1
"509","Canada",0,0.1,0.877,78,2,0.5,91,15.8,79.7,"Americas",1
"510","Canada",0,0.1,0.872,79,2,0.5,88,15.8,79.5,"Americas",1
"511","Canada",0,0.1,0.867,12,2,0.5,89,15.8,79.4,"Americas",1
"512","Canada",0,0.1,0.864,82,2,0.5,89,15.9,79.1,"Americas",1
"513","Central African Republic",0,1,0.347,383,21,8.2,65,7.1,52.6,"Africa",0
"514","Central African Republic",0,1,0.345,383,22,8.3,65,7.1,58,"Africa",0
"515","Central African Republic",0,1,0.37,383,23,8.5,65,7.1,52.6,"Africa",0
"516","Central African Republic",0,1,0.366,383,23,8.6,65,7.1,53,"Africa",0
"517","Central African Republic",0,1,0.361,383,24,8.8,65,6.8,52.6,"Africa",0
"518","Central African Republic",0,1,0.352,383,24,8.9,65,6.8,52.6,"Africa",0
"519","Central African Republic",0,1,0.345,383,25,9.1,65,6.8,52.6,"Africa",0
"520","Central African Republic",0,1,0.338,383,25,9.2,65,6.8,52.6,"Africa",0
"521","Central African Republic",0,1,0.33,383,26,9.4,65,6.8,52.6,"Africa",0
"522","Central African Republic",0,1,0.323,56,26,9.6,65,6.8,52.6,"Africa",0
"523","Central African Republic",0,1,0.319,383,26,9.7,65,6.8,52.6,"Africa",0
"525","Central African Republic",0,1,0.316,51,26,1.1,65,6.8,52.6,"Africa",0
"526","Central African Republic",0,1,0.315,58,25,1.2,65,6.8,52.6,"Africa",0
"529","Chad",0,1,0.394,356,77,8.4,65,7.3,53.1,"Africa",0
"531","Chad",0,1,0.387,366,78,8.7,65,7.3,52.6,"Africa",0
"532","Chad",0,1,0.381,367,79,8.9,65,7.3,52.6,"Africa",0
"534","Chad",0,1,0.36,364,80,9.3,65,6.8,52.6,"Africa",0
"535","Chad",0,1,0.343,37,80,9.5,65,6.8,57,"Africa",0
"536","Chad",0,1,0.338,383,80,9.7,65,6.8,52.6,"Africa",0
"537","Chad",0,1,0.306,383,80,1,65,6.8,52.6,"Africa",0
"539","Chad",0,1,0.306,46,79,1.4,65,6.8,52.6,"Africa",0
"545","Chile",0,0.1,0.845,82,2,0.8,96,16.3,82.09,"Americas",1
"546","Chile",0,0.1,0.841,83,2,0.8,95,16.2,82.09,"Americas",1
"547","Chile",0,0.1,0.831,84,2,0.8,91,15.6,81,"Americas",1
"548","Chile",0,0.1,0.826,84,2,0.8,65,15.5,79.9,"Americas",1
"549","Chile",0,0.1,0.82,86,2,0.8,94,15.4,79.8,"Americas",1
"550","Chile",0,0.1,0.815,89,2,0.9,92,15.2,79.1,"Americas",1
"551","Chile",0,0.1,0.816,91,2,0.9,94,15.3,79.3,"Americas",1
"552","Chile",0,0.1,0.804,88,2,0.9,95,15.2,79.6,"Americas",1
"553","Chile",0,0.1,0.797,12,2,0.9,96,14.8,78.9,"Americas",1
"554","Chile",0,0.1,0.796,91,2,0.9,94,14.9,78.9,"Americas",1
"555","Chile",0,0.1,0.79,93,2,1,91,14.6,78.4,"Americas",1
"556","Chile",0,0.1,0.781,97,2,1,93,14.3,78,"Americas",1
"557","Chile",0,0.1,0.775,12,2,1,96,14,77.9,"Americas",1
"558","Chile",0,0.1,0.768,12,3,1,97,13.9,77.8,"Americas",1
"559","Chile",0,0.1,0.761,16,3,1,97,13.7,77.3,"Americas",1
"560","Chile",0,0.1,0.755,13,3,1.1,91,13.5,77.3,"Americas",1
"577","Colombia",0,0.1,0.724,143,12,1.9,91,13.6,74.8,"Americas",1
"578","Colombia",0,0.1,0.72,144,12,1.9,65,13.6,74.6,"Americas",1
"579","Colombia",0,0.1,0.712,145,13,1.9,91,13.3,74.4,"Americas",1
"580","Colombia",0,0.1,0.707,143,13,1.9,91,13.2,74.3,"Americas",1
"581","Colombia",0,0.1,0.7,144,14,2,85,13,74.2,"Americas",1
"582","Colombia",0,0.1,0.695,15,15,2,88,12.8,73.6,"Americas",1
"583","Colombia",0,0.1,0.691,15,15,2,92,12.4,73.6,"Americas",1
"584","Colombia",0,0.1,0.683,146,16,2,92,12.2,73.5,"Americas",1
"585","Colombia",0,0.1,0.675,144,17,2.1,93,11.9,73.5,"Americas",1
"586","Colombia",0,0.1,0.669,147,17,2.1,93,11.5,73.1,"Americas",1
"587","Colombia",0,0.1,0.658,144,18,2.1,93,11.1,73.1,"Americas",1
"588","Colombia",0,0.1,0.658,148,19,2.2,89,11.3,72.8,"Americas",1
"589","Colombia",0,0.1,0.659,15,19,2.2,92,11.6,72.4,"Americas",1
"590","Colombia",0,0.1,0.656,163,20,2.3,81,11.5,71.8,"Americas",1
"591","Colombia",0,0.1,0.653,165,21,2.3,65,11.4,71.5,"Americas",1
"592","Colombia",0,0.1,0.65,167,21,2.3,79,11.3,71.4,"Americas",1
"593","Comoros",0,0.8,0.498,227,2,6.5,91,11.1,63.5,"Africa",0
"594","Comoros",0,0.8,0.497,23,2,6.6,87,11.1,63.2,"Africa",0
"595","Comoros",0,0.8,0.49,233,2,6.6,87,10.9,62.9,"Africa",0
"596","Comoros",0,0.8,0.484,237,2,6.7,86,10.8,62.5,"Africa",0
"597","Comoros",0,0.2,0.479,241,2,6.8,83,10.6,62.2,"Africa",0
"598","Comoros",0,0.1,0.476,246,2,6.9,74,10.5,61.8,"Africa",0
"599","Comoros",0,0.1,0.465,251,2,7,83,10.3,61.3,"Africa",0
"600","Comoros",0,0.1,0.461,255,2,7.1,81,10.2,61,"Africa",0
"601","Comoros",0,0.1,0.459,259,2,7.2,75,10,66,"Africa",0
"602","Comoros",0,0.1,0.451,262,2,7.3,69,9.9,63,"Africa",0
"603","Comoros",0,0.1,0.434,266,2,7.4,68,9.7,60,"Africa",0
"604","Comoros",0,0.1,0.286,269,2,7.5,76,9.5,59.8,"Africa",0
"605","Comoros",0,0.1,0.286,271,2,7.6,65,9.2,59.6,"Africa",0
"606","Comoros",0,0.1,0.286,271,2,7.7,89,8.8,59.5,"Africa",0
"607","Comoros",0,0.1,0.286,272,2,7.8,65,8.5,59.5,"Africa",0
"608","Comoros",0,0.1,0.286,272,2,7.9,65,8.2,59.5,"Africa",0
"610","Congo",0,1,0.581,275,10,7.3,65,11.1,64.2,"Africa",0
"611","Congo",0,1,0.576,274,10,7.4,85,11.1,63.9,"Africa",0
"612","Congo",0,1,0.557,273,10,7.5,85,10.2,63.7,"Africa",0
"613","Congo",0,1,0.558,285,10,7.6,82,10.7,62.9,"Africa",0
"614","Congo",0,1,0.548,298,10,7.7,74,10.5,62,"Africa",0
"615","Congo",0,1,0.545,314,11,7.9,78,10.3,68,"Africa",0
"616","Congo",0,1,0.527,338,11,8,79,10,59.4,"Africa",0
"617","Congo",0,1,0.517,354,11,8.2,72,9.8,58.2,"Africa",0
"618","Congo",0,1,0.507,368,12,8.3,73,9.6,56.9,"Africa",0
"619","Congo",0,1,0.496,383,13,8.5,65,9.4,55.3,"Africa",0
"625","Costa Rica",0,0.1,0.775,95,1,1.7,92,14.2,79.6,"Americas",1
"626","Costa Rica",0,0.1,0.768,96,1,1.7,91,13.9,79.5,"Americas",1
"627","Costa Rica",0,0.1,0.762,96,1,1.7,95,13.7,79.4,"Americas",1
"628","Costa Rica",0,0.1,0.758,97,1,1.7,91,13.6,79.2,"Americas",1
"629","Costa Rica",0,0.1,0.752,98,1,1.7,85,13.4,79,"Americas",1
"630","Costa Rica",0,0.1,0.749,16,1,1.8,88,13.3,78.1,"Americas",1
"631","Costa Rica",0,0.1,0.747,96,1,1.8,86,13.1,79.2,"Americas",1
"632","Costa Rica",0,0.1,0.74,99,1,1.8,65,12.9,78.9,"Americas",1
"633","Costa Rica",0,0.1,0.734,93,1,1.9,89,12.8,78.9,"Americas",1
"634","Costa Rica",0,0.1,0.727,16,1,1.9,89,12.6,78,"Americas",1
"635","Costa Rica",0,0.1,0.723,97,1,2,91,12.4,78.6,"Americas",1
"636","Costa Rica",0,0.1,0.719,12,1,2,65,12.2,77.7,"Americas",1
"637","Costa Rica",0,0.1,0.715,12,1,2.1,88,12.1,78,"Americas",1
"638","Costa Rica",0,0.1,0.712,99,1,2.2,94,11.9,78.3,"Americas",1
"639","Costa Rica",0,0.1,0.708,12,1,2.2,91,11.7,77.5,"Americas",1
"640","Costa Rica",0,0.1,0.702,98,1,2.3,88,11.6,77.6,"Americas",1
"641","Croatia",1,0.1,0.823,95,0,1.4,94,15.3,78,"Europe",1
"642","Croatia",1,0.1,0.82,97,0,1.5,95,15.1,77.8,"Europe",1
"643","Croatia",1,0.1,0.817,97,0,1.5,96,14.9,77.7,"Europe",1
"644","Croatia",1,0.1,0.815,14,0,1.5,96,14.6,77.1,"Europe",1
"645","Croatia",1,0.1,0.808,14,0,1.5,96,14.5,77,"Europe",1
"646","Croatia",1,0.1,0.803,16,0,1.6,97,14.2,76.6,"Europe",1
"647","Croatia",1,0.1,0.803,19,0,1.6,96,14.2,76.3,"Europe",1
"648","Croatia",1,0.1,0.8,116,0,1.7,96,14.3,76,"Europe",1
"649","Croatia",1,0.1,0.793,114,0,1.7,96,14.3,75.8,"Europe",1
"650","Croatia",1,0.1,0.783,113,0,1.8,96,13.9,75.9,"Europe",1
"651","Croatia",1,0.1,0.777,116,0,1.8,96,13.6,75.2,"Europe",1
"652","Croatia",1,0.1,0.771,114,0,1.9,96,13.3,75.4,"Europe",1
"653","Croatia",1,0.1,0.765,122,0,1.9,94,12.9,74.7,"Europe",1
"654","Croatia",1,0.1,0.759,124,0,2,95,12.6,74.8,"Europe",1
"655","Croatia",1,0.1,0.749,126,0,2,94,12.3,74.9,"Europe",1
"656","Croatia",1,0.1,0.739,127,0,2.1,93,12.2,74.7,"Europe",1
"657","Cuba",0,0.1,0.773,92,1,3.3,99,13.9,79.1,"Americas",1
"658","Cuba",0,0.1,0.772,93,1,3.3,99,14,79,"Americas",1
"659","Cuba",0,0.1,0.773,96,1,3.3,99,14.7,78.7,"Americas",1
"660","Cuba",0,0.1,0.778,96,1,3.2,99,15.7,78.7,"Americas",1
"661","Cuba",0,0.1,0.78,92,1,3.2,97,16.5,78.8,"Americas",1
"662","Cuba",0,0.1,0.784,98,1,3.2,96,16.99,78,"Americas",1
"663","Cuba",0,0.1,0.782,12,1,3.2,96,16.99,78.1,"Americas",1
"664","Cuba",0,0.1,0.771,12,1,3.2,95,16.99,77.9,"Americas",1
"665","Cuba",0,0.1,0.754,14,1,3.2,93,16,78.1,"Americas",1
"666","Cuba",0,0.1,0.732,14,1,3.2,89,14.7,78,"Americas",1
"667","Cuba",0,0.1,0.719,19,1,3.3,89,14.2,77.2,"Americas",1
"668","Cuba",0,0.1,0.705,17,1,3.3,88,13.2,77.3,"Americas",1
"669","Cuba",0,0.1,0.694,18,1,3.3,72,12.9,77.4,"Americas",1
"670","Cuba",0,0.1,0.692,19,1,3.3,99,12.5,77.7,"Americas",1
"671","Cuba",0,0.1,0.686,115,1,3.4,98,12.3,76.7,"Americas",1
"672","Cuba",0,0.1,0.679,115,1,3.4,95,12.1,76.9,"Americas",1
"673","Cyprus",1,0.1,0.854,52,0,1,97,14.3,82.09,"Asia",1
"674","Cyprus",1,0.1,0.85,53,0,1,99,14,82.09,"Asia",1
"675","Cyprus",1,0.1,0.85,54,0,1,99,13.8,81,"Asia",1
"676","Cyprus",1,0.1,0.85,56,0,1,99,13.8,80,"Asia",1
"677","Cyprus",1,0.1,0.847,57,0,1,99,13.8,79.7,"Asia",1
"678","Cyprus",1,0.1,0.853,59,0,1,99,14.6,79.5,"Asia",1
"679","Cyprus",1,0.1,0.849,12,0,1,99,14.1,79.3,"Asia",1
"680","Cyprus",1,0.1,0.844,62,0,1,97,13.7,79.1,"Asia",1
"681","Cyprus",1,0.1,0.836,63,0,1,97,13.5,78.9,"Asia",1
"682","Cyprus",1,0.1,0.829,64,0,1,97,13.4,78.8,"Asia",1
"683","Cyprus",1,0.1,0.826,65,0,1,98,13.5,78.7,"Asia",1
"684","Cyprus",1,0.1,0.823,65,0,1,98,13.4,78.6,"Asia",1
"685","Cyprus",1,0.1,0.815,66,0,1,98,13,78.5,"Asia",1
"686","Cyprus",1,0.1,0.805,68,0,1,98,12.5,78.4,"Asia",1
"687","Cyprus",1,0.1,0.8,69,0,1,97,12.4,78.2,"Asia",1
"688","Cyprus",1,0.1,0.798,12,0,1,97,12.5,78.1,"Asia",1
"689","Czechia",1,0.1,0.723,86,0,1.8,97,13.1,78.8,"Europe",1
"690","Czechia",1,0.1,0.722,88,0,1.9,97,13,78.6,"Europe",1
"691","Czechia",1,0.1,0.719,12,0,1.9,98,12.9,78.2,"Europe",1
"692","Czechia",1,0.1,0.712,93,0,1.9,99,12.9,78,"Europe",1
"693","Czechia",1,0.1,0.709,97,0,1.9,99,12.9,77.8,"Europe",1
"694","Czechia",1,0.1,0.7,99,0,2,99,12.7,77.5,"Europe",1
"695","Czechia",1,0.1,0.7,12,0,2,99,12.5,77.1,"Europe",1
"696","Czechia",1,0.1,0.697,16,0,2,99,12.4,77,"Europe",1
"697","Czechia",1,0.1,0.687,17,0,2.1,99,12.3,76.8,"Europe",1
"698","Czechia",1,0.1,0.682,19,0,2.1,98,12.3,76.5,"Europe",1
"699","Czechia",1,0.1,0.658,114,0,2.1,97,12.1,75.9,"Europe",1
"700","Czechia",1,0.1,0.64,116,0,2.2,98,12,75.8,"Europe",1
"701","Czechia",1,0.1,0.638,122,0,2.2,97,11.8,75.2,"Europe",1
"702","Czechia",1,0.1,0.632,12,0,2.3,98,11.8,75.3,"Europe",1
"703","Czechia",1,0.1,0.629,123,0,2.3,98,11.6,75.1,"Europe",1
"704","Czechia",1,0.1,0.602,126,0,2.3,98,11.4,74.7,"Europe",1
"705","Democratic People's Republic of Korea",0,0.1,0.723,139,7,4.9,96,13.1,76,"Asia",1
"706","Democratic People's Republic of Korea",0,0.1,0.722,142,8,4.9,93,13,73,"Asia",1
"707","Democratic People's Republic of Korea",0,0.1,0.719,146,8,5,93,12.9,71,"Asia",1
"708","Democratic People's Republic of Korea",0,0.1,0.712,149,9,5.1,96,12.9,69.8,"Asia",0
"709","Democratic People's Republic of Korea",0,0.1,0.709,153,10,5.2,94,12.9,69.4,"Asia",0
"710","Democratic People's Republic of Korea",0,0.1,0.7,157,10,5.2,93,12.7,69,"Asia",0
"711","Democratic People's Republic of Korea",0,0.1,0.7,161,11,5.3,93,12.5,68.7,"Asia",0
"712","Democratic People's Republic of Korea",0,0.1,0.697,164,12,5.4,92,12.4,68.6,"Asia",0
"714","Democratic People's Republic of Korea",0,0.1,0.682,165,12,5.6,89,12.3,68.5,"Asia",0
"715","Democratic People's Republic of Korea",0,0.1,0.658,165,13,5.7,79,12.1,68.5,"Asia",0
"716","Democratic People's Republic of Korea",0,0.1,0.64,165,14,5.7,72,12,68.4,"Asia",0
"717","Democratic People's Republic of Korea",0,0.1,0.638,165,15,5.8,68,11.8,68.1,"Asia",0
"718","Democratic People's Republic of Korea",0,0.1,0.632,167,18,5.9,65,11.8,67.6,"Asia",0
"719","Democratic People's Republic of Korea",0,0.1,0.629,177,21,6,65,11.6,66.6,"Asia",0
"720","Democratic People's Republic of Korea",0,0.1,0.602,192,25,6,65,11.4,65.4,"Asia",0
"727","Democratic Republic of the Congo",0,1,0.7,292,80,1.4,72,12.5,56.7,"Africa",0
"737","Denmark",1,0.1,0.894,71,0,0.9,93,16.99,82.09,"Europe",1
"738","Denmark",1,0.1,0.894,73,0,0.9,94,16.99,82.09,"Europe",1
"739","Denmark",1,0.1,0.894,75,0,0.9,94,16.99,81,"Europe",1
"740","Denmark",1,0.1,0.894,76,0,0.9,94,16.99,80,"Europe",1
"741","Denmark",1,0.1,0.894,79,0,0.9,91,16.9,79.7,"Europe",1
"742","Denmark",1,0.1,0.894,84,0,0.9,65,16.8,79.2,"Europe",1
"743","Denmark",1,0.1,0.894,86,0,0.9,89,16.8,78.9,"Europe",1
"744","Denmark",1,0.1,0.894,88,0,0.9,88,16.8,78.8,"Europe",1
"745","Denmark",1,0.1,0.894,93,0,0.9,87,16.7,78.4,"Europe",1
"746","Denmark",1,0.1,0.894,93,0,0.9,93,16.9,78.1,"Europe",1
"747","Denmark",1,0.1,0.894,92,0,1,93,16.6,78.1,"Europe",1
"748","Denmark",1,0.1,0.893,98,0,1,95,16.5,77.7,"Europe",1
"749","Denmark",1,0.1,0.882,12,0,1,96,16.3,77.3,"Europe",1
"750","Denmark",1,0.1,0.875,14,0,1,98,16.6,77,"Europe",1
"751","Denmark",1,0.1,0.862,12,0,1,97,16.2,77,"Europe",1
"752","Denmark",1,0.1,0.86,12,0,1,97,16.5,76.9,"Europe",1
"753","Djibouti",0,1,0.47,241,1,5.4,84,6.8,63.5,"Africa",0
"754","Djibouti",0,1,0.467,252,1,5.4,78,6.8,63,"Africa",0
"755","Djibouti",0,1,0.464,256,2,5.4,82,6.8,62.7,"Africa",0
"756","Djibouti",0,1,0.46,263,2,5.5,81,6.8,62.2,"Africa",0
"757","Djibouti",0,1,0.451,268,2,5.5,87,6.8,61.8,"Africa",0
"758","Djibouti",0,1,0.441,273,2,5.6,88,6.8,61.3,"Africa",0
"759","Djibouti",0,1,0.436,279,2,5.6,89,6.8,69,"Africa",0
"760","Djibouti",0,1,0.427,289,2,5.6,89,6.8,62,"Africa",0
"761","Djibouti",0,1,0.416,296,2,5.7,88,6.8,59.8,"Africa",0
"762","Djibouti",0,1,0.405,39,2,5.7,72,6.8,59.1,"Africa",0
"763","Djibouti",0,1,0.396,318,2,5.8,71,6.8,58.6,"Africa",0
"764","Djibouti",0,1,0.388,326,2,5.9,65,6.8,58.1,"Africa",0
"765","Djibouti",0,1,0.378,325,2,5.9,68,6.8,58,"Africa",0
"766","Djibouti",0,1,0.372,322,2,6,65,6.8,57.9,"Africa",0
"767","Djibouti",0,1,0.363,323,2,6.1,65,6.8,57.7,"Africa",0
